date,province,region,variable,value
1/1/2022,Ang Thong ,central,ratio_tourist_stay,22.74
1/1/2022,Nonthaburi ,central,ratio_tourist_stay,33.81
1/1/2022,Pathum Thani ,central,ratio_tourist_stay,24.17
1/1/2022,Samut Prakan ,central,ratio_tourist_stay,24.74
1/1/2022,Samut Sakhon ,central,ratio_tourist_stay,24.3
1/1/2022,Chachoengsao ,east,ratio_tourist_stay,29.47
1/1/2022,Ratchaburi ,central,ratio_tourist_stay,48.44
1/1/2022,Kanchanaburi ,central,ratio_tourist_stay,57.17
1/1/2022,Samut Songkhram ,central,ratio_tourist_stay,43.34
1/1/2022,Suphan Buri ,central,ratio_tourist_stay,43.52
1/1/2022,Phetchaburi ,central,ratio_tourist_stay,52.21
1/1/2022,Prachuap Khiri Khan ,central,ratio_tourist_stay,49.97
1/1/2022,Chonburi ,east,ratio_tourist_stay,38.52
1/1/2022,Chanthaburi ,east,ratio_tourist_stay,40.22
1/1/2022,Trat ,east,ratio_tourist_stay,32.53
1/1/2022,Nakhon Nayok ,east,ratio_tourist_stay,51.85
1/1/2022,Prachinburi ,east,ratio_tourist_stay,39.79
1/1/2022,Rayong ,east,ratio_tourist_stay,34.9
1/1/2022,Sa Kaeo ,east,ratio_tourist_stay,29.6
1/1/2022,Phuket ,south,ratio_tourist_stay,25.53
1/1/2022,Phatthalung ,south,ratio_tourist_stay,26.32
1/1/2022,Trang ,south,ratio_tourist_stay,31.24
1/1/2022,Ranong ,south,ratio_tourist_stay,30.24
1/1/2022,Chumphon ,south,ratio_tourist_stay,28.77
1/1/2022,Pattani ,south,ratio_tourist_stay,27.5
1/1/2022,Yala ,south,ratio_tourist_stay,37.63
1/1/2022,Nakhon Si Thammarat ,south,ratio_tourist_stay,23.29
1/1/2022,Narathiwat ,south,ratio_tourist_stay,19.41
1/1/2022,Krabi ,south,ratio_tourist_stay,25.56
1/1/2022,Songkhla ,south,ratio_tourist_stay,16.65
1/1/2022,Phang Nga ,south,ratio_tourist_stay,32.28
1/1/2022,Surat Thani ,south,ratio_tourist_stay,24.49
1/1/2022,Satun ,south,ratio_tourist_stay,45.21
1/1/2022,Kamphaeng Phet ,north,ratio_tourist_stay,35.58
1/1/2022,Chiang Rai ,north,ratio_tourist_stay,72.09
1/1/2022,Chiang Mai ,north,ratio_tourist_stay,56.83
1/1/2022,Phichit ,north,ratio_tourist_stay,33.51
1/1/2022,Nakhon Sawan ,north,ratio_tourist_stay,41.59
1/1/2022,Tak ,north,ratio_tourist_stay,43.26
1/1/2022,Phitsanulok ,north,ratio_tourist_stay,55.74
1/1/2022,Phayao ,north,ratio_tourist_stay,58.03
1/1/2022,Phetchabun ,north,ratio_tourist_stay,60.52
1/1/2022,Phrae ,north,ratio_tourist_stay,64.1
1/1/2022,Lampang ,north,ratio_tourist_stay,52.49
1/1/2022,Lamphun ,north,ratio_tourist_stay,49.51
1/1/2022,Mae Hong Son ,north,ratio_tourist_stay,50.59
1/1/2022,Uttaradit ,north,ratio_tourist_stay,36.87
1/1/2022,Uthai Thani ,north,ratio_tourist_stay,31.64
1/1/2022,Sukhothai ,north,ratio_tourist_stay,34.58
1/1/2022,Nan ,north,ratio_tourist_stay,71.89
1/1/2022,Kalasin ,east_northeast,ratio_tourist_stay,38.23
1/1/2022,Khon Kaen ,east_northeast,ratio_tourist_stay,46.42
1/1/2022,Chaiyaphum ,east_northeast,ratio_tourist_stay,31.56
1/1/2022,Nakhon Phanom ,east_northeast,ratio_tourist_stay,54.27
1/1/2022,Nakhon Ratchasima ,east_northeast,ratio_tourist_stay,48.67
1/1/2022,Buriram ,east_northeast,ratio_tourist_stay,61.59
1/1/2022,Maha Sarakham ,east_northeast,ratio_tourist_stay,17.66
1/1/2022,Mukdahan ,east_northeast,ratio_tourist_stay,38.43
1/1/2022,Roi Et ,east_northeast,ratio_tourist_stay,28.15
1/1/2022,Loei ,east_northeast,ratio_tourist_stay,37.26
1/1/2022,Sisaket ,south,ratio_tourist_stay,43.7
1/1/2022,Surin ,east_northeast,ratio_tourist_stay,32
1/1/2022,Nong Khai ,east_northeast,ratio_tourist_stay,49.37
1/1/2022,Bueng Kan ,east_northeast,ratio_tourist_stay,64.89
1/1/2022,Udon Thani ,east_northeast,ratio_tourist_stay,41.58
1/1/2022,Ubon Ratchathani ,east_northeast,ratio_tourist_stay,43.18
1/1/2022,Sakon Nakhon ,east_northeast,ratio_tourist_stay,30.22
1/1/2022,Yasothon ,east_northeast,ratio_tourist_stay,37.71
1/1/2022,Amnat Charoen ,east_northeast,ratio_tourist_stay,37.36
1/1/2022,Nong Bua Lamphu ,east_northeast,ratio_tourist_stay,18.85
1/1/2023,Bangkok,central,ratio_tourist_stay,75.02
1/1/2023,Kanchanaburi ,central,ratio_tourist_stay,67.29
1/1/2023,Nakhon Pathom ,central,ratio_tourist_stay,48.32
1/1/2023,Prachuap Khiri Khan ,central,ratio_tourist_stay,79.78
1/1/2023,Phetchaburi ,central,ratio_tourist_stay,69.54
1/1/2023,Ratchaburi ,central,ratio_tourist_stay,65.05
1/1/2023,Samut Prakan ,central,ratio_tourist_stay,51.03
1/1/2023,Samut Songkhram ,central,ratio_tourist_stay,59.93
1/1/2023,Samut Sakhon ,central,ratio_tourist_stay,44.25
1/1/2023,Chainat ,central,ratio_tourist_stay,42.77
1/1/2023,Nonthaburi ,central,ratio_tourist_stay,55.17
1/1/2023,Pathum Thani ,central,ratio_tourist_stay,43.47
1/1/2023,Phra Nakhon Si Ayutthaya ,central,ratio_tourist_stay,62.82
1/1/2023,Lopburi ,central,ratio_tourist_stay,58.27
1/1/2023,Saraburi ,central,ratio_tourist_stay,60.06
1/1/2023,Sing Buri ,central,ratio_tourist_stay,40.28
1/1/2023,Suphan Buri ,central,ratio_tourist_stay,65.77
1/1/2023,Ang Thong ,central,ratio_tourist_stay,44.76
1/1/2023,Chanthaburi ,east,ratio_tourist_stay,59.21
1/1/2023,Chachoengsao ,east,ratio_tourist_stay,41.64
1/1/2023,Chonburi ,east,ratio_tourist_stay,78.58
1/1/2023,Trat ,east,ratio_tourist_stay,55.73
1/1/2023,Nakhon Nayok ,east,ratio_tourist_stay,63.53
1/1/2023,Prachinburi ,east,ratio_tourist_stay,46.79
1/1/2023,Rayong ,east,ratio_tourist_stay,69.39
1/1/2023,Sa Kaeo ,east,ratio_tourist_stay,48.48
1/1/2023,Krabi ,south,ratio_tourist_stay,66.42
1/1/2023,Chumphon ,south,ratio_tourist_stay,58.61
1/1/2023,Nakhon Si Thammarat ,south,ratio_tourist_stay,63.46
1/1/2023,Phang Nga ,south,ratio_tourist_stay,68.35
1/1/2023,Phuket ,south,ratio_tourist_stay,82.7
1/1/2023,Ranong ,south,ratio_tourist_stay,54.25
1/1/2023,Surat Thani ,south,ratio_tourist_stay,72.6
1/1/2023,Trang ,south,ratio_tourist_stay,54.87
